,brand,city_state,frequency,zip_list
0,Atlanta,"Allen, TX",1,"[75002, 75013]"
1,Atlanta,"Alpharetta, GA",1,"[30004, 30005, 30009, 30022]"
2,Atlanta,"Amherst, NH",1,['03031']
3,Atlanta,"Annapolis, MD",1,"[21401, 21402, 21403, 21405, 21409]"
4,Atlanta,"Arden, NC",1,[28704]
5,Charlotte,"Arden, NC",1,[28704]
6,Atlanta,"Athens, GA",1,"[30601, 30602, 30605, 30606, 30607, 30609]"
7,Atlanta,"Atlanta, GA",43,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
8,Charlotte,"Atlanta, GA",1,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
9,Louisville,"Atlanta, GA",1,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
10,Atlanta,"Auburn, AL",1,"[36830, 36832]"
11,Atlanta,"Baltimore, MD",1,"[21201, 21202, 21205, 21206, 21209, 21210, 21211, 21212, 21213, 21214, 21215, 21216, 21217, 21218, 21223, 21224, 21229, 21230, 21231, 21207, 21239, 21240, 21250, 21251]"
12,Atlanta,"Boston, MA",2,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
13,Charlotte,"Boston, MA",3,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
14,Indianapolis,"Boston, MA",1,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
15,RDU,"Boston, MA",3,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
16,Atlanta,"Bristol, PA",1,[19007]
17,Atlanta,"Charlotte, NC",2,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
18,Charlotte,"Charlotte, NC",113,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
19,Portland,"Charlotte, NC",1,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
20,RDU,"Charlotte, NC",1,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
21,Atlanta,"Chicago, IL",1,"[60607, 60601, 60602, 60603, 60604, 60605, 60606, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60018, 60131]"
22,Austin,"Chicago, IL",1,"[60607, 60601, 60602, 60603, 60604, 60605, 60606, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60018, 60131]"
23,Atlanta,"Clearwater, FL",2,"[33755, 33756, 33765, 33759, 33760, 33761, 33762, 33763, 33764]"
24,Atlanta,"Cleveland, OH",2,"[44101, 44102, 44103, 44104, 44105, 44106, 44108, 44109, 44110, 44111, 44112, 44113, 44114, 44115, 44118, 44119, 44120, 44121, 44124, 44125, 44126, 44127, 44128, 44129, 44130, 44134, 44135, 44143, 44144]"
25,Atlanta,"Cocoa, FL",1,"[32922, 32926, 32927]"
26,Atlanta,"Columbia, SC",1,"[29201, 29202, 29203, 29204, 29205, 29206, 29207, 29208, 29209, 29210, 29212, 29223, 29225, 29229]"
27,Charlotte,"Columbia, SC",3,"[29201, 29202, 29203, 29204, 29205, 29206, 29207, 29208, 29209, 29210, 29212, 29223, 29225, 29229]"
28,San_Diego,"Columbia, SC",1,"[29201, 29202, 29203, 29204, 29205, 29206, 29207, 29208, 29209, 29210, 29212, 29223, 29225, 29229]"
29,Atlanta,"Columbus, OH",3,"[43085, 43201, 43202, 43203, 43204, 43205, 43206, 43207, 43209, 43210, 43211, 43212, 43213, 43214, 43215, 43217, 43219, 43220, 43221, 43222, 43223, 43224, 43229, 43227, 43228, 43230, 43231, 43232, 43235, 43240]"
30,Atlanta,"Detroit, MI",1,"[48201, 48202, 48204, 48205, 48206, 48207, 48208, 48209, 48210, 48211, 48213, 48214, 48215, 48216, 48217, 48219, 48221, 48223, 48224, 48226, 48227, 48228, 48233, 48234, 48235, 48238, 48242, 48243, 48212]"
31,Atlanta,"Dulles, VA",1,[20166]
32,Charlotte,"Dulles, VA",1,[20166]
33,Atlanta,"Duluth, GA",1,"[30096, 30097]"
34,Atlanta,"Ellijay, GA",1,"[30536, 30540]"
35,Atlanta,"Fairport, NY",4,[14450]
36,Atlanta,"Fayetteville, GA",1,"[30214, 30215]"
37,Atlanta,"Fort Atkinson, WI",2,[53538]
38,Austin,"Fort Atkinson, WI",2,[53538]
39,Indianapolis,"Fort Atkinson, WI",4,[53538]
40,Atlanta,"Fremont, NE",1,[68025]
41,Atlanta,"Herndon, VA",1,"[20170, 20171, 20191]"
42,Atlanta,"Houston, TX",2,"[77002, 77003, 77004, 77005, 77006, 77007, 77008, 77009, 77010, 77011, 77012, 77013, 77014, 77015, 77016, 77017, 77018, 77019, 77020, 77021, 77022, 77023, 77024, 77025, 77026, 77027, 77028, 77029, 77030, 77031, 77032, 77033, 77034, 77035, 77036, 77037, 77038, 77039, 77040, 77041, 77042, 77043, 77044, 77045, 77046, 77047, 77048, 77049, 77050, 77051, 77053, 77054, 77055, 77056, 77057, 77058, 77059, 77060, 77061, 77062, 77063, 77064, 77065, 77066, 77067, 77068, 77069, 77070, 77071, 77072, 77073, 77074, 77075, 77076, 77077, 77078, 77079, 77080, 77081, 77082, 77083, 77084, 77085, 77086, 77087, 77088, 77089, 77090, 77091, 77092, 77093, 77094, 77095, 77096, 77098, 77099, 77201]"
43,Atlanta,"Huntsville, AL",2,"[35801, 35802, 35803, 35805, 35806, 35808, 35810, 35811, 35824, 35816, 35896]"
44,Atlanta,"Indianapolis, IN",1,"[46201, 46202, 46203, 46204, 46205, 46225, 46208, 46231, 46268, 46214, 46216, 46217, 46218, 46219, 46220, 46221, 46222, 46224, 46226, 46227, 46228, 46229, 46234, 46235, 46236, 46237, 46239, 46240, 46241, 46250, 46254, 46256, 46259, 46260, 46278, 46280, 46290]"
45,Indianapolis,"Indianapolis, IN",45,"[46201, 46202, 46203, 46204, 46205, 46225, 46208, 46231, 46268, 46214, 46216, 46217, 46218, 46219, 46220, 46221, 46222, 46224, 46226, 46227, 46228, 46229, 46234, 46235, 46236, 46237, 46239, 46240, 46241, 46250, 46254, 46256, 46259, 46260, 46278, 46280, 46290]"
46,Atlanta,"Jonesboro, GA",2,"[30236, 30238]"
47,Atlanta,"Kennesaw, GA",1,"[30144, 30152]"
48,Atlanta,"Lawrenceville, GA",2,"[30044, 30043, 30045, 30046]"
49,Atlanta,"Little Rock, AR",1,"[72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72117]"
50,Atlanta,"Los Angeles, CA",3,"[90001, 90002, 90003, 90004, 90005, 90006, 90007, 90008, 90045, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90040, 90041, 90042, 90043, 90044, 90046, 90047, 90048, 90049, 90056, 90057, 90058, 90059, 90061, 90062, 90063, 90064, 90065, 90066, 90067, 90068, 90071, 90073, 90077, 90079, 90089, 90095, 90201]"
51,Austin,"Los Angeles, CA",2,"[90001, 90002, 90003, 90004, 90005, 90006, 90007, 90008, 90045, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90040, 90041, 90042, 90043, 90044, 90046, 90047, 90048, 90049, 90056, 90057, 90058, 90059, 90061, 90062, 90063, 90064, 90065, 90066, 90067, 90068, 90071, 90073, 90077, 90079, 90089, 90095, 90201]"
52,Charlotte,"Los Angeles, CA",4,"[90001, 90002, 90003, 90004, 90005, 90006, 90007, 90008, 90045, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90040, 90041, 90042, 90043, 90044, 90046, 90047, 90048, 90049, 90056, 90057, 90058, 90059, 90061, 90062, 90063, 90064, 90065, 90066, 90067, 90068, 90071, 90073, 90077, 90079, 90089, 90095, 90201]"
53,Portland,"Los Angeles, CA",1,"[90001, 90002, 90003, 90004, 90005, 90006, 90007, 90008, 90045, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90040, 90041, 90042, 90043, 90044, 90046, 90047, 90048, 90049, 90056, 90057, 90058, 90059, 90061, 90062, 90063, 90064, 90065, 90066, 90067, 90068, 90071, 90073, 90077, 90079, 90089, 90095, 90201]"
54,San_Diego,"Los Angeles, CA",6,"[90001, 90002, 90003, 90004, 90005, 90006, 90007, 90008, 90045, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90040, 90041, 90042, 90043, 90044, 90046, 90047, 90048, 90049, 90056, 90057, 90058, 90059, 90061, 90062, 90063, 90064, 90065, 90066, 90067, 90068, 90071, 90073, 90077, 90079, 90089, 90095, 90201]"
55,Atlanta,"Madison, WI",1,"[53703, 53702, 53704, 53705, 53706, 53714, 53711, 53713, 53715, 53716, 53717, 53718, 53719, 53726, 53792]"
56,Atlanta,"Marietta, GA",1,"[30339, 30068, 30008, 30060, 30062, 30064, 30066, 30067]"
57,Atlanta,"Miami, FL",1,"[33101, 33126, 33122, 33131, 33176, 33181, 33125, 33127, 33128, 33129, 33130, 33132, 33133, 33134, 33135, 33136, 33137, 33138, 33142, 33143, 33144, 33145, 33146, 33147, 33150, 33155, 33156, 33157, 33158, 33139, 33161, 33162, 33180, 33165, 33166, 33167, 33168, 33169, 33170, 33172, 33173, 33174, 33175, 33177, 33178, 33179, 33182, 33183, 33184, 33185, 33186, 33187, 33189, 33190, 33193, 33194, 33196]"
58,Atlanta,"Minneapolis, MN",1,"[55401, 55402, 55403, 55404, 55405, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413, 55414, 55415, 55416, 55417, 55418, 55419, 55420, 55421, 55422, 55423, 55424, 55425, 55426, 55427, 55428, 55429, 55430, 55431, 55432, 55433, 55434, 55435, 55436, 55437, 55438, 55439, 55441, 55442, 55443, 55444, 55445, 55446, 55447, 55448, 55449, 55450, 55454, 55455]"
59,Charlotte,"Minneapolis, MN",3,"[55401, 55402, 55403, 55404, 55405, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413, 55414, 55415, 55416, 55417, 55418, 55419, 55420, 55421, 55422, 55423, 55424, 55425, 55426, 55427, 55428, 55429, 55430, 55431, 55432, 55433, 55434, 55435, 55436, 55437, 55438, 55439, 55441, 55442, 55443, 55444, 55445, 55446, 55447, 55448, 55449, 55450, 55454, 55455]"
60,Louisville,"Minneapolis, MN",1,"[55401, 55402, 55403, 55404, 55405, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413, 55414, 55415, 55416, 55417, 55418, 55419, 55420, 55421, 55422, 55423, 55424, 55425, 55426, 55427, 55428, 55429, 55430, 55431, 55432, 55433, 55434, 55435, 55436, 55437, 55438, 55439, 55441, 55442, 55443, 55444, 55445, 55446, 55447, 55448, 55449, 55450, 55454, 55455]"
61,Atlanta,"Monroe, MI",3,"[48161, 48162]"
62,Atlanta,"Monroe, OH",1,[45050]
63,Atlanta,"Nashville, TN",1,"[37201, 37203, 37204, 37205, 37206, 37207, 37208, 37209, 37210, 37211, 37212, 37213, 37214, 37215, 37216, 37217, 37218, 37219, 37220, 37221, 37228, 37240, 37243, 37246]"
64,Charlotte,"Nashville, TN",1,"[37201, 37203, 37204, 37205, 37206, 37207, 37208, 37209, 37210, 37211, 37212, 37213, 37214, 37215, 37216, 37217, 37218, 37219, 37220, 37221, 37228, 37240, 37243, 37246]"
65,Nashville,"Nashville, TN",18,"[37201, 37203, 37204, 37205, 37206, 37207, 37208, 37209, 37210, 37211, 37212, 37213, 37214, 37215, 37216, 37217, 37218, 37219, 37220, 37221, 37228, 37240, 37243, 37246]"
66,Atlanta,"New York, NY",1,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10065, 10069, 10075, 10103, 10110, 10111, 10112, 10115, 10119, 10128, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10280, 10282]"
67,Austin,"New York, NY",1,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10065, 10069, 10075, 10103, 10110, 10111, 10112, 10115, 10119, 10128, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10280, 10282]"
68,Charlotte,"New York, NY",3,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10065, 10069, 10075, 10103, 10110, 10111, 10112, 10115, 10119, 10128, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10280, 10282]"
69,Portland,"New York, NY",3,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10065, 10069, 10075, 10103, 10110, 10111, 10112, 10115, 10119, 10128, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10280, 10282]"
70,San_Diego,"New York, NY",4,"[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10065, 10069, 10075, 10103, 10110, 10111, 10112, 10115, 10119, 10128, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10280, 10282]"
71,Atlanta,"Orlando, FL",1,"[32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32780, 32826, 32817, 32818, 32819, 32820, 32821, 32822, 32824, 32825, 32827, 32828, 32829, 32830, 32831, 32832, 32833, 32835, 32836, 32837, 32839]"
72,Austin,"Orlando, FL",1,"[32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32780, 32826, 32817, 32818, 32819, 32820, 32821, 32822, 32824, 32825, 32827, 32828, 32829, 32830, 32831, 32832, 32833, 32835, 32836, 32837, 32839]"
73,Charlotte,"Orlando, FL",1,"[32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32780, 32826, 32817, 32818, 32819, 32820, 32821, 32822, 32824, 32825, 32827, 32828, 32829, 32830, 32831, 32832, 32833, 32835, 32836, 32837, 32839]"
74,San_Diego,"Orlando, FL",2,"[32801, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32780, 32826, 32817, 32818, 32819, 32820, 32821, 32822, 32824, 32825, 32827, 32828, 32829, 32830, 32831, 32832, 32833, 32835, 32836, 32837, 32839]"
75,Atlanta,"Philadelphia, PA",1,"[19115, 19104, 19102, 19103, 19107, 19106, 19123, 19109, 19111, 19112, 19113, 19114, 19116, 19118, 19119, 19120, 19121, 19122, 19124, 19125, 19126, 19127, 19128, 19129, 19130, 19131, 19132, 19133, 19134, 19135, 19136, 19137, 19138, 19139, 19140, 19141, 19142, 19143, 19144, 19145, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19153, 19154]"
76,Indianapolis,"Philadelphia, PA",1,"[19115, 19104, 19102, 19103, 19107, 19106, 19123, 19109, 19111, 19112, 19113, 19114, 19116, 19118, 19119, 19120, 19121, 19122, 19124, 19125, 19126, 19127, 19128, 19129, 19130, 19131, 19132, 19133, 19134, 19135, 19136, 19137, 19138, 19139, 19140, 19141, 19142, 19143, 19144, 19145, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19153, 19154]"
77,Atlanta,"Phoenix, AZ",3,"[85004, 85003, 85009, 85006, 85007, 85008, 85014, 85012, 85013, 85015, 85016, 85017, 85018, 85019, 85020, 85021, 85022, 85023, 85024, 85027, 85028, 85029, 85031, 85032, 85033, 85034, 85035, 85037, 85040, 85041, 85042, 85043, 85044, 85045, 85048, 85050, 85051, 85053, 85054, 85339, 85083, 85085, 85086]"
78,Atlanta,"Powder Springs, GA",3,[30127]
79,Atlanta,"Providence, RI",1,"['02903', '02904', '02905', '02906', '02907', '02908', '02909', '02912']"
80,Atlanta,"Raleigh, NC",3,"[27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617, 27560]"
81,Austin,"Raleigh, NC",2,"[27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617, 27560]"
82,Charlotte,"Raleigh, NC",2,"[27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617, 27560]"
83,Portland,"Raleigh, NC",1,"[27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617, 27560]"
84,RDU,"Raleigh, NC",54,"[27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617, 27560]"
85,Atlanta,"Ridgecrest, CA",1,[93555]
86,Atlanta,"Roswell, GA",2,"[30075, 30076]"
